founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Talia Krainc,27826,TorMagnus Pharmaceuticals,W23,Active,"['Healthcare', 'AI-powered Drug Discovery', 'Biotech', 'Drug discovery']",,https://www.tormagnuspharmaceuticals.com/,,Finding new therapies for Parkinson's disease.,2,True,False,False,talia-krainc,https://www.linkedin.com/in/talia-krainc,False,Medium,True,True
John Fraser,27826,TorMagnus Pharmaceuticals,W23,Active,"['Healthcare', 'AI-powered Drug Discovery', 'Biotech', 'Drug discovery']",,https://www.tormagnuspharmaceuticals.com/,,Finding new therapies for Parkinson's disease.,2,True,False,False,john-fraser,https://www.linkedin.com/in/john-fraser,False,Medium,True,True
Ari Malik,27808,Salient,W23,Active,"['B2B', 'Generative AI', 'Sales', 'SaaS', 'Artificial Intelligence']",San Francisco,https://www.trysalient.com,https://www.linkedin.com/company/trysalient/,Outbound sales on autopilot.,2,True,False,True,ari-malik,https://www.linkedin.com/in/ari-malik,True,High,True,True
Mukund Tibrewala,27808,Salient,W23,Active,"['B2B', 'Generative AI', 'Sales', 'SaaS', 'Artificial Intelligence']",San Francisco,https://www.trysalient.com,https://www.linkedin.com/company/trysalient/,Outbound sales on autopilot.,2,True,False,True,mukund-tibrewala,https://www.linkedin.com/in/mukund-tibrewala,True,High,True,True
Fatma Akcay,27684,Bumper,W23,Active,"['B2B', 'SaaS', 'Fintech', 'Logistics', 'Supply Chain']",,https://www.bumper.one/,https://www.linkedin.com/company/bumper-payments/,Simplifying logistics payments.,2,True,False,True,fatma-akcay,https://www.linkedin.com/in/fatma-akcay,True,High,True,True
Eamonn Gahan,27684,Bumper,W23,Active,"['B2B', 'SaaS', 'Fintech', 'Logistics', 'Supply Chain']",,https://www.bumper.one/,https://www.linkedin.com/company/bumper-payments/,Simplifying logistics payments.,2,True,False,True,eamonn-gahan,https://www.linkedin.com/in/eamonn-gahan,True,High,True,True
Brian Kim,29152,Taylor AI,S23,Active,"['Artificial Intelligence', 'Data Science', 'Enterprise', 'AI', 'Conversational AI']",San Francisco,https://trytaylor.ai,https://www.linkedin.com/company/taylor-ai/about/,Enabling data scientists to fine-tune and own LLMs,2,True,False,False,brian-kim,https://www.linkedin.com/in/brian-kim,True,High,True,True
Benjamin Anderson,29152,Taylor AI,S23,Active,"['Artificial Intelligence', 'Data Science', 'Enterprise', 'AI', 'Conversational AI']",San Francisco,https://trytaylor.ai,https://www.linkedin.com/company/taylor-ai/about/,Enabling data scientists to fine-tune and own LLMs,2,True,False,False,benjamin-anderson,https://www.linkedin.com/in/benjamin-anderson,True,High,True,True
Sandeep Pani,29156,CodeStory,S23,Active,"['Developer Tools', 'AI']",San Francisco,https://codestory.ai,,"10x engineer, right inside your editor.",2,True,True,False,sandeep-pani,https://www.linkedin.com/in/sandeep-pani,False,Medium,True,True
Naresh R,29156,CodeStory,S23,Active,"['Developer Tools', 'AI']",San Francisco,https://codestory.ai,,"10x engineer, right inside your editor.",2,True,True,False,naresh-r,https://www.linkedin.com/in/naresh-r,False,Medium,True,True
