founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders
['Talia Krainc',27826,TorMagnus Pharmaceuticals,W23,Active,"['Healthcare', 'AI-powered Drug Discovery', 'Biotech', 'Drug discovery']",,https://www.tormagnuspharmaceuticals.com/,,Finding new therapies for Parkinson's disease.,2
'John Fraser'],27826,TorMagnus Pharmaceuticals,W23,Active,"['Healthcare', 'AI-powered Drug Discovery', 'Biotech', 'Drug discovery']",,https://www.tormagnuspharmaceuticals.com/,,Finding new therapies for Parkinson's disease.,2
['Ari Malik',27808,Salient,W23,Active,"['B2B', 'Generative AI', 'Sales', 'SaaS', 'Artificial Intelligence']",San Francisco,https://www.trysalient.com,https://www.linkedin.com/company/trysalient/,Outbound sales on autopilot.,2
'Mukund Tibrewala'],27808,Salient,W23,Active,"['B2B', 'Generative AI', 'Sales', 'SaaS', 'Artificial Intelligence']",San Francisco,https://www.trysalient.com,https://www.linkedin.com/company/trysalient/,Outbound sales on autopilot.,2
['Fatma Akcay',27684,Bumper,W23,Active,"['B2B', 'SaaS', 'Fintech', 'Logistics', 'Supply Chain']",,https://www.bumper.one/,https://www.linkedin.com/company/bumper-payments/,Simplifying logistics payments.,2
'Eamonn Gahan'],27684,Bumper,W23,Active,"['B2B', 'SaaS', 'Fintech', 'Logistics', 'Supply Chain']",,https://www.bumper.one/,https://www.linkedin.com/company/bumper-payments/,Simplifying logistics payments.,2
['Kabir Nagral',26739,Craze,S22,Active,"['Fintech', 'Consumer', 'Social', 'Gaming', 'Community']","Mumbai, India",https://thecrazeapp.com/,https://www.linkedin.com/company/thecrazeapp/,Indian exchange to trade outcomes of real-world events,3
'Deepit Patil',26739,Craze,S22,Active,"['Fintech', 'Consumer', 'Social', 'Gaming', 'Community']","Mumbai, India",https://thecrazeapp.com/,https://www.linkedin.com/company/thecrazeapp/,Indian exchange to trade outcomes of real-world events,3
'Tarun Prasad'],26739,Craze,S22,Active,"['Fintech', 'Consumer', 'Social', 'Gaming', 'Community']","Mumbai, India",https://thecrazeapp.com/,https://www.linkedin.com/company/thecrazeapp/,Indian exchange to trade outcomes of real-world events,3
['Robert Huynh',25603,Nook,W22,Active,"['Human Resources', 'Logistics', 'Real Estate', 'Marketplace', 'Construction']","Ho Chi Minh City, Vietnam",https://www.workwithnook.com/en,https://www.linkedin.com/company/nookrenovation,"We match reliable, quality workers w/ construction projects on demand.",2
'Nathaniel Ricca'],25603,Nook,W22,Active,"['Human Resources', 'Logistics', 'Real Estate', 'Marketplace', 'Construction']","Ho Chi Minh City, Vietnam",https://www.workwithnook.com/en,https://www.linkedin.com/company/nookrenovation,"We match reliable, quality workers w/ construction projects on demand.",2
['Brian Kim',29152,Taylor AI,S23,Active,"['Artificial Intelligence', 'Data Science', 'Enterprise', 'AI', 'Conversational AI']",San Francisco,https://trytaylor.ai,https://www.linkedin.com/company/taylor-ai/about/,Enabling data scientists to fine-tune and own LLMs,2
'Benjamin Anderson'],29152,Taylor AI,S23,Active,"['Artificial Intelligence', 'Data Science', 'Enterprise', 'AI', 'Conversational AI']",San Francisco,https://trytaylor.ai,https://www.linkedin.com/company/taylor-ai/about/,Enabling data scientists to fine-tune and own LLMs,2
['Sandeep Pani',29156,CodeStory,S23,Active,"['Developer Tools', 'AI']",San Francisco,https://codestory.ai,,"10x engineer, right inside your editor.",2
'Naresh R'],29156,CodeStory,S23,Active,"['Developer Tools', 'AI']",San Francisco,https://codestory.ai,,"10x engineer, right inside your editor.",2
['Dawson Chen',29160,Martin,S23,Active,"['Artificial Intelligence', 'Consumer', 'Consumer Products', 'AI', 'AI Assistant']","Sunnyvale, CA",https://www.trymartin.com/,,An AI voice assistant that knows you.,3
'Harsh Deep',29160,Martin,S23,Active,"['Artificial Intelligence', 'Consumer', 'Consumer Products', 'AI', 'AI Assistant']","Sunnyvale, CA",https://www.trymartin.com/,,An AI voice assistant that knows you.,3
'Arjun Dixit'],29160,Martin,S23,Active,"['Artificial Intelligence', 'Consumer', 'Consumer Products', 'AI', 'AI Assistant']","Sunnyvale, CA",https://www.trymartin.com/,,An AI voice assistant that knows you.,3
['Tim Jang',29137,TrendUp,S23,Active,"['Social Media', 'Consumer Products', 'AI']",San Francisco,https://trendup.ai/,https://www.linkedin.com/company/trendupai,AI tools to help you go viral on any platform,2
'Brayden Werner'],29137,TrendUp,S23,Active,"['Social Media', 'Consumer Products', 'AI']",San Francisco,https://trendup.ai/,https://www.linkedin.com/company/trendupai,AI tools to help you go viral on any platform,2
['Raj Kohli',29159,Healthtech 1,S23,Active,"['Health Tech', 'Digital Health', 'Healthcare', 'Automation']","London, United Kingdom",https://www.healthtech1.uk/,https://www.linkedin.com/company/healthtech-1/,Digitising repetitive processes in healthcare,2
'Peter Huang'],29159,Healthtech 1,S23,Active,"['Health Tech', 'Digital Health', 'Healthcare', 'Automation']","London, United Kingdom",https://www.healthtech1.uk/,https://www.linkedin.com/company/healthtech-1/,Digitising repetitive processes in healthcare,2
['Ingo Boegemann',29125,truemetrics,S23,Active,"['Machine Learning', 'Logistics', 'Big Data', 'AI']","Berlin, Germany",https://www.truemetrics.io/,https://www.linkedin.com/company/truemetricsio,Fixing bad GPS positions and incomplete map data on the last mile.,3
'Jan Bischof',29125,truemetrics,S23,Active,"['Machine Learning', 'Logistics', 'Big Data', 'AI']","Berlin, Germany",https://www.truemetrics.io/,https://www.linkedin.com/company/truemetricsio,Fixing bad GPS positions and incomplete map data on the last mile.,3
